year,month,day,hour,trips,day_of_week,event_of_day
2016,8,12,10,27,6, 
2016,8,12,11,40,6, 
2016,8,12,12,43,6, 
2016,8,12,13,71,6, 
2016,8,12,14,63,6, 
2016,8,12,15,77,6, 
2016,8,12,16,50,6, 
2016,8,12,17,55,6, 
2016,8,12,18,41,6, 
2016,8,12,19,58,6, 
2016,8,12,20,50,6, 
2016,8,12,21,37,6, 
2016,8,12,22,42,6, 
2016,8,12,23,30,6, 
2016,8,12,24,17,6, 
2016,8,13,0,839,7, 
2016,8,13,1,25,7, 
2016,8,13,2,9,7, 
2016,8,13,3,8,7, 
2016,8,13,4,5,7, 
2016,8,13,5,3,7, 
2016,8,13,6,4,7, 
2016,8,13,7,3,7, 
2016,8,13,8,16,7, 
2016,8,13,9,16,7, 
2016,8,13,10,40,7, 
2016,8,13,11,48,7, 
2016,8,13,12,52,7, 
2016,8,13,13,58,7, 
2016,8,13,14,61,7, 
2016,8,13,15,47,7, 
2016,8,13,16,48,7, 
2016,8,13,17,55,7, 
2016,8,13,18,65,7, 
2016,8,13,19,68,7, 
2016,8,13,20,61,7, 
2016,8,13,21,60,7, 
2016,8,13,22,33,7, 
2016,8,13,23,37,7, 
2016,8,13,24,17,7, 
2016,8,14,0,1022,1, 
2016,8,14,1,8,1, 
2016,8,14,2,22,1, 
2016,8,14,3,4,1, 
2016,8,14,4,6,1, 
2016,8,14,5,4,1, 
2016,8,14,7,8,1, 
2016,8,14,8,13,1, 
2016,8,14,9,39,1, 
2016,8,14,10,86,1, 
2016,8,14,11,70,1, 
2016,8,14,12,85,1, 
